number;team;driver_1;driver_1_nat;driver_2;driver_2_nat;car;class
2;Boutsen VDS;Morris Schuring;NED;Dorian Boccolacci;FRA;Porsche 911 GT3 R (992) EVO;PRO
3;Mercedes - AMG Team Verstappen Racing;Dani Juncadella;ESP;Chris Lulham;GBR;Mercedes-AMG GT3 EVO;PRO
5;Optimum Motorsport;Guilherme Oliveira;POR;Mikey Porter;GBR;McLaren 720S GT3 EVO;SILVER
6;GetSpeed Team Bartone Bros;Aurelien Panis;FRA;Anthony Bartone;USA;Mercedes-AMG GT3 EVO;SILVER
7;Comtoyou Racing;Nicki Thiim;DEN;Kobe Pauwels;BEL;Aston Martin Vantage AMR GT3 EVO;PRO
9;Pure Rxcing;Riccardo Pera;ITA;Aliaksandr Malykhin;GBR;Porsche 911 GT3 R (992) EVO;SILVER
10;Boutsen VDS;Robin Knutsson;SWE;Gilles Magnus;BEL;Porsche 911 GT3 R (992) EVO;GOLD
11;Comtoyou Racing;Felice Jelmini;ITA;Marcelo Tomasoni;BRA;Aston Martin Vantage AMR GT3 EVO;BRONZE
12;GetSpeed Team Dubai;Fabian Schiller;GER;Gabriel Rindone;UAE;Mercedes-AMG GT3 EVO;BRONZE
14;Emil Frey Racing;Matteo Cairoli;ITA;Konsta Lappalainen;FIN;Ferrari 296 GT3 EVO;PRO
21;Comtoyou Racing;Arthur Dorison;FRA;Oliver Söderström;SWE;Aston Martin Vantage AMR GT3 EVO;SILVER
27;Kessel Racing;David Fumanelli;ITA;Marco Pulcini;MON;Ferrari 296 GT3 EVO;BRONZE
30;Team WRT;Matisse Lismont;BEL;Ignacio Montenegro;ARG;BMW M4 GT3 EVO;SILVER
31;Team WRT;Amaury Cordeel;BEL;Jordan Pepper;RSA;BMW M4 GT3 EVO;PRO
32;Team WRT;Charles Weerts;BEL;Kelvin Van Der Linde;RSA;BMW M4 GT3 EVO;PRO
34;Walkenhorst Motorsport;Jamie Day;UAE;Mateo Villagomez;ECU;Aston Martin Vantage AMR GT3 EVO;SILVER
35;Walkenhorst Motorsport;Gaspard Simon;FRA;Maxime Robin;FRA;Aston Martin Vantage AMR GT3 EVO;SILVER
46;Team WRT;Valentino Rossi;ITA;Max Hesse;GER;BMW M4 GT3 EVO;PRO
48;Winward Racing;Lucas Auer;AUT;Maro Engel;GER;Mercedes-AMG GT3 EVO;PRO
50;AF Corse;Thomas Neubauer;FRA;Arthur Leclerc;MON;Ferrari 296 GT3 EVO;PRO
51;AF Corse;Tommaso Mosca;ITA;Matias Zagazeta;PER;Ferrari 296 GT3 EVO;GOLD
52;AF Corse;Gilles Stadsbader;BEL;Jef Machiels;BEL;Ferrari 296 GT3 EVO;SILVER
54;Dinamic GT;Tanart Sathienthirakul;THA;Mark Kastelic;SLO;Porsche 911 GT3 R (992) EVO;SILVER
55;Dinamic GT;Loris Cabirou;FRA;Dmitry Gvazava;RUS;Porsche 911 GT3 R (992) EVO;BRONZE
58;Garage 59;Thomas Fleming;GBR;Louis Prette;MON;McLaren 720S GT3 EVO;GOLD
59;Garage 59;Dean MacDonald;GBR;Marvin Kirchhöfer;SUI;McLaren 720S GT3 EVO;PRO
66;Tresor Attempto Racing;Ariel Levi;ISR;Andrea Frassineti;ITA;Audi R8 LMS GT3 EVO II;SILVER
69;Emil Frey Racing;Thierry Vermeulen;NED;Ben Green;GBR;Ferrari 296 GT3 EVO;PRO
71;AF Corse;Carl Bennett;THA;Felix Hirsiger;SUI;Ferrari 296 GT3 EVO;SILVER
74;Kessel Racing;Dennis Marschall;GER;Dustin Blattner;USA;Ferrari 296 GT3 EVO;BRONZE
77;KPX Motorsport;David Pittard;GBR;Jop Rappange;NED;BMW M4 GT3 EVO;GOLD
80;Lionspeed GP;Bastian Buus;DEN;Ricardo Feller;SUI;Porsche 911 GT3 R (992) EVO;PRO
84;Eastalent Racing;Simon Reicher;AUT;Christopher Haase;GER;Audi R8 LMS GT3 EVO II;PRO
87;Winward Racing;Marvin Dienst;GER;Rinat Salikhov;RUS;Mercedes-AMG GT3 EVO;BRONZE
88;Tresor Attempto Racing;Sebastian Øgaard;DEN;Carrie Schreiner;GER;Audi R8 LMS GT3 EVO II;BRONZE
89;Lionspeed GP;Flynt Schuring;NED;Nicolas Baert;BEL;Porsche 911 GT3 R (992) EVO;SILVER
93;Ziggo Sport Tempesta Racing;Eddie Cheever;ITA;Peter Dempsey;IRL;Porsche 911 GT3 R (992) EVO;BRONZE
96;Rutronik Racing;Luca Engstler;GER;Patric Niederhauser;SUI;Lamborghini Temerario GT3;PRO
99;Tresor Attempto Racing;Dylan Pereira;LUX;Alex Aka;GER;Audi R8 LMS GT3 EVO II;GOLD
111;CSA Racing;Arthur Rougier;FRA;James Kell;GBR;McLaren 720S GT3 EVO;GOLD
163;VSR;Loris Spinelli;ITA;Mattia Michelotto;ITA;Lamborghini Temerario GT3;GOLD
222;2Seas Motorsport;Kiern Jewiss;GBR;Charles Dawson;GBR;Mercedes-AMG GT3 EVO;BRONZE
555;CSA Racing;Romain Andriolo;FRA;Simon Gachet;FRA;McLaren 720S GT3 EVO;GOLD
914;Razoon - more than racing;Klaus Bachler;AUT;Simon Birch;DEN;Porsche 911 GT3 R (992) EVO;PRO
991;Paradine Competition;Augusto Farfus;BRA;Darren Leung;GBR;BMW M4 GT3 EVO;BRONZE
